test_family,varying_factor,level_a,level_b,conditioning_factor,conditioning_level,fixed_model,fixed_prompt,fixed_parser,n_a,n_b,successes_a,successes_b,failures_a,failures_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,odds_ratio,chi_square,degrees_of_freedom,minimum_expected_count,test_used,p_value,p_holm,p_fdr_bh
between_year_num_within_obfuscation_clean,year_num,2023,2025,obfuscation_clean,yes,Qwen,label,P1,40,40,35,25,5,15,0.875,0.625,87.5,62.5,0.25,25.0,0.23809523809523808,6.666666666666667,1.0,10.0,Pearson chi-square,0.009823274507519235,0.18664221564286546,0.03406974935737063
between_year_num_within_obfuscation_clean,year_num,2023,2025,obfuscation_clean,yes,Llama,label,P2,40,40,37,28,3,12,0.925,0.7,92.5,70.0,0.2250000000000001,22.500000000000007,0.1891891891891892,6.646153846153846,1.0,7.5,Pearson chi-square,0.0099370102292331,0.18664221564286546,0.03406974935737063
between_obfuscation_clean,obfuscation_clean,no,yes,none,all,Llama,label,P1,80,80,63,73,17,7,0.7875,0.9125,78.75,91.25,-0.125,-12.5,2.8140589569161,4.901960784313726,1.0,12.0,Pearson chi-square,0.02682621907954147,0.18778353355679028,0.05365243815908294
between_year_num_within_obfuscation_clean,year_num,2023,2025,obfuscation_clean,yes,Llama,label,P1,40,40,40,33,0,7,1.0,0.825,100.0,82.5,0.17500000000000004,17.500000000000004,0.0,7.671232876712329,1.0,3.5,Fisher exact,0.011737629459148446,0.19953970080552358,0.035212888377445344
between_dataset_clean_within_obfuscation_clean,dataset_clean,nazario,spam_archive,obfuscation_clean,yes,Llama,guided,P2,34,46,33,35,1,11,0.9705882352941176,0.7608695652173914,97.05882352941177,76.08695652173914,0.2097186700767263,20.97186700767263,0.09641873278236915,6.743894488741788,1.0,5.1,Pearson chi-square,0.009406904894319083,0.20695190767501984,0.07341765137589669
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2025,Llama,guided,P1,34,46,30,29,4,17,0.8823529411764706,0.6304347826086957,88.23529411764706,63.04347826086957,0.2519181585677749,25.191815856777488,0.22745098039215686,6.408765422160022,1.0,8.925,Pearson chi-square,0.011355834523145638,0.21576085593976713,0.04542333809258255
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2025,Qwen,label,P2,40,40,19,8,21,32,0.475,0.2,47.5,20.0,0.27499999999999997,27.499999999999996,0.27631578947368424,6.76450034940601,1.0,13.5,Pearson chi-square,0.009298895574549252,0.22317349378918205,0.07703600947922083
between_dataset_clean_within_obfuscation_clean,dataset_clean,nazario,spam_archive,obfuscation_clean,yes,Qwen,evidence,P2,34,46,27,24,7,22,0.7941176470588235,0.5217391304347826,79.41176470588235,52.17391304347826,0.2723785166240409,27.23785166240409,0.2828282828282828,6.2763082126756675,1.0,12.325,Pearson chi-square,0.012236275229316114,0.2569617798156384,0.07341765137589669
between_dataset_clean,dataset_clean,nazario,spam_archive,none,all,Llama,label,P2,68,92,55,61,13,31,0.8088235294117647,0.6630434782608695,80.88235294117648,66.30434782608695,0.1457800511508952,14.578005115089521,0.46510263929618767,4.167755694345341,1.0,18.7,Pearson chi-square,0.04120034053920389,0.28840238377442723,0.08240068107840778
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2025,Qwen,guided,P2,40,40,27,16,13,24,0.675,0.4,67.5,40.0,0.275,27.500000000000004,0.32098765432098764,6.084223758642363,1.0,18.5,Pearson chi-square,0.01363942819502796,0.31370684848564306,0.07703600947922083
