dataset_clean,obfuscation_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
nazario,no,316,408,0.7745098039215687,34,0.7315073168236536,0.8123913004778266,77.45098039215686,73.15073168236536,81.23913004778267
nazario,yes,357,408,0.875,34,0.8393706995052913,0.9036336616297663,87.5,83.93706995052914,90.36336616297663
spam_archive,no,377,552,0.6829710144927537,46,0.6430025506695695,0.7204104276076809,68.29710144927536,64.30025506695695,72.0410427607681
spam_archive,yes,403,552,0.730072463768116,46,0.6915436894598977,0.7654211446114962,73.0072463768116,69.15436894598977,76.54211446114962
