model,dataset_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,nazario,375,408,0.9191176470588235,68,0.8885870069765209,0.9418296319391316,91.91176470588235,88.8587006976521,94.18296319391317
Llama,spam_assassin,446,552,0.8079710144927537,92,0.7730278350593862,0.8386573759023223,80.79710144927536,77.30278350593862,83.86573759023223
Qwen,nazario,298,408,0.7303921568627451,68,0.6853317727470196,0.7711545667738654,73.0392156862745,68.53317727470196,77.11545667738655
Qwen,spam_assassin,334,552,0.605072463768116,92,0.5637015607508604,0.6449910406360755,60.507246376811594,56.370156075086044,64.49910406360755
