model,prompt,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,evidence,308,320,0.9625,160,0.9356070068679461,0.9784204962130925,96.25,93.5607006867946,97.84204962130924
Llama,guided,261,320,0.815625,160,0.7694798371576581,0.8542821750800778,81.5625,76.94798371576582,85.42821750800778
Llama,label,252,320,0.7875,160,0.7394053057986226,0.8287739528733742,78.75,73.94053057986227,82.87739528733742
Qwen,evidence,251,320,0.784375,160,0.7360835922149079,0.8259198049497848,78.4375,73.60835922149079,82.59198049497847
Qwen,guided,214,320,0.66875,160,0.6154476450993601,0.7180488762950727,66.875,61.54476450993601,71.80488762950728
Qwen,label,167,320,0.521875,160,0.46721026909651875,0.5760207614546113,52.1875,46.721026909651876,57.60207614546113
