model,parser,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,P1,422,480,0.8791666666666667,160,0.8469587321343532,0.9053538143911276,87.91666666666667,84.69587321343532,90.53538143911275
Llama,P2,399,480,0.83125,160,0.7951444152614244,0.8620956665932541,83.125,79.51444152614245,86.2095666593254
Qwen,P1,356,480,0.7416666666666667,160,0.7006984034580751,0.7787975053164073,74.16666666666667,70.0698403458075,77.87975053164074
Qwen,P2,276,480,0.575,160,0.5303526401636779,0.6184564349732303,57.49999999999999,53.03526401636779,61.84564349732303
