parser,obfuscation_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
P1,no,356,480,0.7416666666666667,80,0.7006984034580751,0.7787975053164073,74.16666666666667,70.0698403458075,77.87975053164074
P1,yes,422,480,0.8791666666666667,80,0.8469587321343532,0.9053538143911276,87.91666666666667,84.69587321343532,90.53538143911275
P2,no,337,480,0.7020833333333333,80,0.6596963190580541,0.7412614667275043,70.20833333333333,65.96963190580541,74.12614667275042
P2,yes,338,480,0.7041666666666667,80,0.661844923313685,0.7432464478923432,70.41666666666667,66.1844923313685,74.32464478923431
