prompt,obfuscation_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
evidence,no,275,320,0.859375,80,0.8170107228152118,0.8932133505247843,85.9375,81.70107228152118,89.32133505247843
evidence,yes,284,320,0.8875,80,0.8481832315884408,0.9176235953172941,88.75,84.81832315884408,91.76235953172942
guided,no,228,320,0.7125,80,0.660620978162183,0.7593376043345105,71.25,66.0620978162183,75.93376043345104
guided,yes,247,320,0.771875,80,0.7228336359835369,0.8144663151519385,77.1875,72.28336359835369,81.44663151519384
label,no,190,320,0.59375,80,0.5391354070743448,0.6461404381447846,59.375,53.91354070743448,64.61404381447846
label,yes,229,320,0.715625,80,0.6638680242921225,0.762266419711875,71.5625,66.38680242921225,76.2266419711875
