model,year_num,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,2023,443,480,0.9229166666666667,80,0.8955567894250382,0.943561050930306,92.29166666666667,89.55567894250382,94.35610509303059
Llama,2025,378,480,0.7875,80,0.7486956766310842,0.821739111393731,78.75,74.86956766310841,82.1739111393731
Qwen,2023,352,480,0.7333333333333333,80,0.6920340460949118,0.7709275209976918,73.33333333333333,69.20340460949119,77.09275209976919
Qwen,2025,280,480,0.5833333333333334,80,0.5387379274540609,0.6266054893647262,58.333333333333336,53.87379274540609,62.660548936472615
