factor,level_a,level_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,absolute_difference_percentage_points,relative_change_vs_b_pct,analysis_scope
model,Llama,Qwen,0.8552083333333333,0.6583333333333333,85.52083333333333,65.83333333333333,0.19687500000000002,19.687500000000004,19.687500000000004,29.905063291139246,overall
prompt,evidence,guided,0.8734375,0.7421875,87.34375,74.21875,0.13124999999999998,13.124999999999998,13.124999999999998,17.684210526315788,overall
prompt,evidence,label,0.8734375,0.6546875,87.34375,65.46875,0.21875,21.875,21.875,33.41288782816229,overall
prompt,guided,label,0.7421875,0.6546875,74.21875,65.46875,0.08750000000000002,8.750000000000002,8.750000000000002,13.36515513126492,overall
parser,P1,P2,0.8104166666666667,0.703125,81.04166666666667,70.3125,0.10729166666666667,10.729166666666668,10.729166666666668,15.259259259259261,overall
year_num,2023,2025,0.828125,0.6854166666666667,82.8125,68.54166666666667,0.14270833333333333,14.270833333333332,14.270833333333332,20.820668693009118,overall
dataset_clean,nazario,spam_assassin,0.8247549019607843,0.7065217391304348,82.47549019607843,70.65217391304348,0.11823316283034946,11.823316283034945,11.823316283034945,16.734539969834074,overall
obfuscation_clean,no,yes,0.721875,0.7916666666666666,72.1875,79.16666666666666,-0.06979166666666659,-6.979166666666659,6.979166666666659,-8.815789473684202,overall
