model,year_num,dataset_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,2023,nazario,188,204,0.9215686274509803,34,0.8764053620091886,0.9511484907011373,92.15686274509804,87.64053620091886,95.11484907011372
Llama,2023,spam_assassin,255,276,0.9239130434782609,46,0.8864891518281274,0.9496985988579972,92.3913043478261,88.64891518281274,94.96985988579972
Llama,2025,nazario,187,204,0.9166666666666666,34,0.8706096642188563,0.9473214692739077,91.66666666666666,87.06096642188564,94.73214692739077
Llama,2025,spam_assassin,191,276,0.6920289855072463,46,0.6352397346992514,0.7435461694577109,69.20289855072464,63.523973469925146,74.35461694577108
Qwen,2023,nazario,148,204,0.7254901960784313,34,0.66050918690648,0.7821358971013688,72.54901960784314,66.050918690648,78.21358971013687
Qwen,2023,spam_assassin,204,276,0.7391304347826086,46,0.6842957057240814,0.787399948509117,73.91304347826086,68.42957057240814,78.7399948509117
Qwen,2025,nazario,150,204,0.7352941176470589,34,0.6708094801177859,0.791081042325187,73.52941176470588,67.08094801177859,79.1081042325187
Qwen,2025,spam_assassin,130,276,0.47101449275362317,46,0.41292783683334366,0.5298969323505108,47.10144927536232,41.29278368333436,52.989693235051085
