factor,minimum_level,maximum_level,minimum_recall,maximum_recall,recall_range,minimum_recall_pct,maximum_recall_pct,recall_range_percentage_points,analysis_scope,prompt,moderator_factor,parser,year_num,dataset_clean,obfuscation_clean,model
year_num,2025,2023,0.66875,0.815625,0.1468750000000001,66.875,81.5625,14.687500000000009,year_num_within_prompt,guided,prompt,,,,,
year_num,2025,2023,0.55625,0.753125,0.19687500000000002,55.625,75.3125,19.687500000000004,year_num_within_prompt,label,prompt,,,,,
year_num,2025,2023,0.7354166666666667,0.8854166666666666,0.1499999999999999,73.54166666666667,88.54166666666666,14.999999999999991,year_num_within_parser,,parser,P1,,,,
year_num,2025,2023,0.6354166666666666,0.7708333333333334,0.13541666666666674,63.541666666666664,77.08333333333334,13.541666666666675,year_num_within_parser,,parser,P2,,,,
year_num,2023,2025,0.8235294117647058,0.8259803921568627,0.002450980392156854,82.35294117647058,82.59803921568627,0.2450980392156854,year_num_within_dataset_clean,,dataset_clean,,,nazario,,
year_num,2025,2023,0.5815217391304348,0.8315217391304348,0.25,58.152173913043484,83.15217391304348,25.0,year_num_within_dataset_clean,,dataset_clean,,,spam_archive,,
year_num,2025,2023,0.675,0.76875,0.09375,67.5,76.875,9.375,year_num_within_obfuscation_clean,,obfuscation_clean,,,,no,
year_num,2025,2023,0.6958333333333333,0.8875,0.19166666666666665,69.58333333333333,88.75,19.166666666666664,year_num_within_obfuscation_clean,,obfuscation_clean,,,,yes,
dataset_clean,spam_archive,nazario,0.8079710144927537,0.9191176470588235,0.11114663256606983,80.79710144927536,91.91176470588235,11.114663256606983,dataset_clean_within_model,,model,,,,,Llama
dataset_clean,spam_archive,nazario,0.605072463768116,0.7303921568627451,0.1253196930946291,60.507246376811594,73.0392156862745,12.531969309462909,dataset_clean_within_model,,model,,,,,Qwen
dataset_clean,spam_archive,nazario,0.8342391304347826,0.9264705882352942,0.09223145780051156,83.42391304347827,92.64705882352942,9.223145780051157,dataset_clean_within_prompt,evidence,prompt,,,,,
dataset_clean,spam_archive,nazario,0.6684782608695652,0.8419117647058824,0.17343350383631717,66.84782608695652,84.19117647058823,17.343350383631716,dataset_clean_within_prompt,guided,prompt,,,,,
dataset_clean,spam_archive,nazario,0.6168478260869565,0.7058823529411765,0.08903452685421998,61.684782608695656,70.58823529411765,8.903452685421998,dataset_clean_within_prompt,label,prompt,,,,,
dataset_clean,spam_archive,nazario,0.7934782608695652,0.8333333333333334,0.03985507246376818,79.34782608695652,83.33333333333334,3.985507246376818,dataset_clean_within_parser,,parser,P1,,,,
dataset_clean,spam_archive,nazario,0.6195652173913043,0.8161764705882353,0.19661125319693096,61.95652173913043,81.61764705882352,19.661125319693095,dataset_clean_within_parser,,parser,P2,,,,
dataset_clean,nazario,spam_archive,0.8235294117647058,0.8315217391304348,0.007992327365728968,82.35294117647058,83.15217391304348,0.7992327365728968,dataset_clean_within_year_num,,year_num,,2023.0,,,
dataset_clean,spam_archive,nazario,0.5815217391304348,0.8259803921568627,0.24445865302642789,58.152173913043484,82.59803921568627,24.445865302642787,dataset_clean_within_year_num,,year_num,,2025.0,,,
dataset_clean,spam_archive,nazario,0.6829710144927537,0.7745098039215687,0.09153878942881499,68.29710144927536,77.45098039215686,9.1538789428815,dataset_clean_within_obfuscation_clean,,obfuscation_clean,,,,no,
dataset_clean,spam_archive,nazario,0.730072463768116,0.875,0.14492753623188404,73.0072463768116,87.5,14.492753623188403,dataset_clean_within_obfuscation_clean,,obfuscation_clean,,,,yes,
obfuscation_clean,no,yes,0.8041666666666667,0.90625,0.1020833333333333,80.41666666666667,90.625,10.20833333333333,obfuscation_clean_within_model,,model,,,,,Llama
obfuscation_clean,no,yes,0.6395833333333333,0.6770833333333334,0.03750000000000009,63.95833333333333,67.70833333333334,3.750000000000009,obfuscation_clean_within_model,,model,,,,,Qwen
obfuscation_clean,no,yes,0.859375,0.8875,0.028124999999999956,85.9375,88.75,2.8124999999999956,obfuscation_clean_within_prompt,evidence,prompt,,,,,
obfuscation_clean,no,yes,0.7125,0.771875,0.059374999999999956,71.25,77.1875,5.937499999999996,obfuscation_clean_within_prompt,guided,prompt,,,,,
obfuscation_clean,no,yes,0.59375,0.715625,0.12187499999999996,59.375,71.5625,12.187499999999996,obfuscation_clean_within_prompt,label,prompt,,,,,
obfuscation_clean,no,yes,0.7416666666666667,0.8791666666666667,0.13749999999999996,74.16666666666667,87.91666666666667,13.749999999999996,obfuscation_clean_within_parser,,parser,P1,,,,
obfuscation_clean,no,yes,0.7020833333333333,0.7041666666666667,0.002083333333333437,70.20833333333333,70.41666666666667,0.2083333333333437,obfuscation_clean_within_parser,,parser,P2,,,,
obfuscation_clean,no,yes,0.76875,0.8875,0.11874999999999991,76.875,88.75,11.874999999999991,obfuscation_clean_within_year_num,,year_num,,2023.0,,,
obfuscation_clean,no,yes,0.675,0.6958333333333333,0.02083333333333326,67.5,69.58333333333333,2.083333333333326,obfuscation_clean_within_year_num,,year_num,,2025.0,,,
obfuscation_clean,no,yes,0.7745098039215687,0.875,0.10049019607843135,77.45098039215686,87.5,10.049019607843135,obfuscation_clean_within_dataset_clean,,dataset_clean,,,nazario,,
obfuscation_clean,no,yes,0.6829710144927537,0.730072463768116,0.047101449275362306,68.29710144927536,73.0072463768116,4.710144927536231,obfuscation_clean_within_dataset_clean,,dataset_clean,,,spam_archive,,
