model,obfuscation_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,no,386,480,0.8041666666666667,80,0.7663093153576076,0.837194156030965,80.41666666666667,76.63093153576077,83.71941560309651
Llama,yes,435,480,0.90625,80,0.876853017028901,0.9291961399626857,90.625,87.6853017028901,92.91961399626857
Qwen,no,307,480,0.6395833333333333,80,0.595680092697329,0.6812701304741391,63.95833333333333,59.568009269732904,68.12701304741391
Qwen,yes,325,480,0.6770833333333334,80,0.6339894847851409,0.7173652759547816,67.70833333333334,63.39894847851409,71.73652759547817
