prompt,dataset_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
evidence,nazario,252,272,0.9264705882352942,68,0.889163046685837,0.9518997906116105,92.64705882352942,88.9163046685837,95.18997906116104
evidence,spam_archive,307,368,0.8342391304347826,92,0.7928319002163245,0.8687403751835087,83.42391304347827,79.28319002163245,86.87403751835086
guided,nazario,229,272,0.8419117647058824,68,0.7938348794184015,0.8804654987597245,84.19117647058823,79.38348794184014,88.04654987597245
guided,spam_archive,246,368,0.6684782608695652,92,0.6188575256890821,0.7146179302035167,66.84782608695652,61.88575256890822,71.46179302035168
label,nazario,192,272,0.7058823529411765,68,0.6491681615455005,0.7568621737015432,70.58823529411765,64.91681615455005,75.68621737015432
label,spam_archive,227,368,0.6168478260869565,92,0.5662126402403874,0.6650687243302861,61.684782608695656,56.621264024038744,66.5068724330286
