model,parser,obfuscation_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,P1,no,199,240,0.8291666666666667,80,0.7764581337597004,0.8715038689454402,82.91666666666667,77.64581337597004,87.15038689454401
Llama,P1,yes,223,240,0.9291666666666667,80,0.8895031557540064,0.9553080629628223,92.91666666666667,88.95031557540064,95.53080629628224
Llama,P2,no,187,240,0.7791666666666667,80,0.7225187625633845,0.8270186321359119,77.91666666666667,72.25187625633845,82.70186321359118
Llama,P2,yes,212,240,0.8833333333333333,80,0.8365512512191453,0.9180374101589929,88.33333333333333,83.65512512191454,91.80374101589929
Qwen,P1,no,157,240,0.6541666666666667,80,0.5919888820581466,0.7114869926265395,65.41666666666667,59.19888820581466,71.14869926265395
Qwen,P1,yes,199,240,0.8291666666666667,80,0.7764581337597004,0.8715038689454402,82.91666666666667,77.64581337597004,87.15038689454401
Qwen,P2,no,150,240,0.625,80,0.5622343547480164,0.6838271652665939,62.5,56.22343547480164,68.3827165266594
Qwen,P2,yes,126,240,0.525,80,0.46192610013747337,0.5872862038654487,52.5,46.192610013747334,58.728620386544875
