prompt,year_num,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
evidence,2023,293,320,0.915625,80,0.8800234967697741,0.9413660837016998,91.5625,88.0023496769774,94.13660837016998
evidence,2025,266,320,0.83125,80,0.786340353529545,0.8683009662447124,83.125,78.6340353529545,86.83009662447124
guided,2023,261,320,0.815625,80,0.7694798371576581,0.8542821750800778,81.5625,76.94798371576582,85.42821750800778
guided,2025,214,320,0.66875,80,0.6154476450993601,0.7180488762950727,66.875,61.54476450993601,71.80488762950728
label,2023,241,320,0.753125,80,0.7030637045274623,0.7971810775641872,75.3125,70.30637045274622,79.71810775641872
label,2025,178,320,0.55625,80,0.5014675771943707,0.6096979299371069,55.625,50.146757719437076,60.96979299371069
