factor,level_a,level_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,absolute_difference_percentage_points,relative_change_vs_b_pct,prompt,analysis_scope,moderator_factor,parser,year_num,dataset_clean,obfuscation_clean,model
prompt,guided,label,0.6684782608695652,0.6168478260869565,66.84782608695652,61.684782608695656,0.05163043478260865,5.163043478260865,5.163043478260865,8.370044052863427,,prompt_within_dataset_clean,dataset_clean,,,spam_archive,,
prompt,evidence,guided,0.859375,0.7125,85.9375,71.25,0.14687499999999998,14.687499999999998,14.687499999999998,20.614035087719294,,prompt_within_obfuscation_clean,obfuscation_clean,,,,no,
prompt,evidence,label,0.859375,0.59375,85.9375,59.375,0.265625,26.5625,26.5625,44.73684210526316,,prompt_within_obfuscation_clean,obfuscation_clean,,,,no,
prompt,guided,label,0.7125,0.59375,71.25,59.375,0.11875000000000002,11.875000000000002,11.875000000000002,20.000000000000004,,prompt_within_obfuscation_clean,obfuscation_clean,,,,no,
prompt,evidence,guided,0.8875,0.771875,88.75,77.1875,0.11562499999999998,11.562499999999998,11.562499999999998,14.97975708502024,,prompt_within_obfuscation_clean,obfuscation_clean,,,,yes,
prompt,evidence,label,0.8875,0.715625,88.75,71.5625,0.171875,17.1875,17.1875,24.0174672489083,,prompt_within_obfuscation_clean,obfuscation_clean,,,,yes,
prompt,guided,label,0.771875,0.715625,77.1875,71.5625,0.05625000000000002,5.625000000000002,5.625000000000002,7.860262008733628,,prompt_within_obfuscation_clean,obfuscation_clean,,,,yes,
parser,P1,P2,0.8791666666666667,0.83125,87.91666666666667,83.125,0.04791666666666661,4.791666666666661,4.791666666666661,5.764411027568915,,parser_within_model,model,,,,,Llama
parser,P1,P2,0.7416666666666667,0.575,74.16666666666667,57.49999999999999,0.16666666666666674,16.666666666666675,16.666666666666675,28.985507246376827,,parser_within_model,model,,,,,Qwen
parser,P1,P2,0.909375,0.8375,90.9375,83.75,0.07187500000000002,7.187500000000002,7.187500000000002,8.582089552238807,evidence,parser_within_prompt,prompt,,,,,
parser,P1,P2,0.771875,0.7125,77.1875,71.25,0.059374999999999956,5.937499999999996,5.937499999999996,8.333333333333327,guided,parser_within_prompt,prompt,,,,,
parser,P1,P2,0.75,0.559375,75.0,55.93749999999999,0.19062500000000004,19.062500000000004,19.062500000000004,34.078212290502805,label,parser_within_prompt,prompt,,,,,
parser,P1,P2,0.8854166666666666,0.7708333333333334,88.54166666666666,77.08333333333334,0.11458333333333326,11.458333333333325,11.458333333333325,14.864864864864854,,parser_within_year_num,year_num,,2023.0,,,
parser,P1,P2,0.7354166666666667,0.6354166666666666,73.54166666666667,63.541666666666664,0.10000000000000009,10.000000000000009,10.000000000000009,15.737704918032803,,parser_within_year_num,year_num,,2025.0,,,
parser,P1,P2,0.8333333333333334,0.8161764705882353,83.33333333333334,81.61764705882352,0.01715686274509809,1.715686274509809,1.715686274509809,2.1021021021021085,,parser_within_dataset_clean,dataset_clean,,,nazario,,
parser,P1,P2,0.7934782608695652,0.6195652173913043,79.34782608695652,61.95652173913043,0.17391304347826086,17.391304347826086,17.391304347826086,28.07017543859649,,parser_within_dataset_clean,dataset_clean,,,spam_archive,,
parser,P1,P2,0.7416666666666667,0.7020833333333333,74.16666666666667,70.20833333333333,0.039583333333333415,3.9583333333333415,3.9583333333333415,5.6379821958457095,,parser_within_obfuscation_clean,obfuscation_clean,,,,no,
parser,P1,P2,0.8791666666666667,0.7041666666666667,87.91666666666667,70.41666666666667,0.17499999999999993,17.499999999999993,17.499999999999993,24.852071005917146,,parser_within_obfuscation_clean,obfuscation_clean,,,,yes,
year_num,2023,2025,0.9229166666666667,0.7875,92.29166666666667,78.75,0.13541666666666674,13.541666666666675,13.541666666666675,17.195767195767207,,year_num_within_model,model,,,,,Llama
year_num,2023,2025,0.7333333333333333,0.5833333333333334,73.33333333333333,58.333333333333336,0.1499999999999999,14.999999999999991,14.999999999999991,25.714285714285698,,year_num_within_model,model,,,,,Qwen
