parser,year_num,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
P1,2023,425,480,0.8854166666666666,80,0.8538109410548033,0.9109023617320866,88.54166666666666,85.38109410548033,91.09023617320867
P1,2025,353,480,0.7354166666666667,80,0.6941984563587641,0.7728966961543092,73.54166666666667,69.41984563587641,77.28966961543092
P2,2023,370,480,0.7708333333333334,80,0.7311713113869572,0.8061947932741007,77.08333333333334,73.11713113869573,80.61947932741008
P2,2025,305,480,0.6354166666666666,80,0.5914411910148367,0.6772418613156921,63.541666666666664,59.144119101483675,67.72418613156921
